FECHA DE MUESTREO	Calcio (mg/L Ca)	Magnesio (mg/L Mg)	Sodio (mg/L Na)	Potasio (mg/L K)	sdf	Bicarbonatos (mg/L CO3Ca)	Sulfatos (mg/L SO4)	Cloruros (mg/L Cl)
20/02/1995	144.3	19.5	24.4	0.8		202.0	50.8	83.9
24/04/1995	128.9	18.5	22.8	2.0		214.5	66.4	47.8
19/07/1995	128	20.0	21.8	1.6		207	69.5	44.7
29/11/1995	126	19.1	23.9	1.5		197	56.6	71.4
30/01/1996	135	22.3	26.7	1.3		195	51.0	93.0
08/04/1996	125	17.4	21.3	1.8		208	63.8	54.5
09/09/1996	128	19.6	24.3	1.6		215	72.6	59.1
13/11/1996	128	20.4	24.3	2.0		212	64.7	66.7
05/02/1997	115	18.7	25.2	1.2		197	49.4	80.6
02/04/1997	129	20.5	24.2	1.8		213	64.9	62.7
02/02/1999	133	20.9	24.8	1.7		209	60.8	60.5
05/05/1999	143	22.5	26.7	1.7		216	70.7	82.1
05/08/1999	148	21.9	24.8	1.8		214	76.3	68.0
08/11/1999	153	22.5	30.4	1.3		194	60.2	101
08/03/2000	168	23.7	25.9	1.5		201	73.0	96.1
05/06/2000	156	22.7	25.7	1.7		211	74.5	79.1
20/09/2000	141	20.9	23.3	1.6		219	75.0	66.6
20/11/2000	147	22.1	26.7	1.9		204	72.2	81.7
07/03/2001	146	21.5	25.6	1.7		216	74.8	71.5
14/05/2001	145	21.4	25.6	1.7		212	74.6	79.8
11/09/2001	172	26.2	28.5	2.1		217	85.1	96.9
27/11/2001	190	28.3	31.8	1.9		209	91.5	118
14/05/2002	175	26.8	28.2	1.8		208	74.8	113
04/11/2002	160	23.8	27.0	1.8		212	77.3	89.8
09/07/2003	193	28.1	31.2	1.8		208	86.3	118
16/11/2005	196	25	30	3		181	87	103
04/08/2006	164	24	25	3		212	78	95
02/08/2007	160	23	25	2		212	79	87
04/06/2008	148	22	23	2		213	51	79
01/06/2009	149	21.4	23.8	1.7		208	77.8	71.5
17/06/2010	155	17.6	29.7	2.1		170.0	82.2	79.2
30/08/2010	142	19.4	19.4	1.9		207.5	72.9	64.2
21/10/2010	172	17.0	28.2	2.5		197.5	73.7	93.3
10/12/2010	160	12.2	24.2	2.3		220.0	67.2	67.2
07/04/2011	140	20.4	22.8	1.8		204	75.3	70.4
02/06/2011	149	21.7	24.3	1.8		211	78.7	79.6
28/07/2011	144	21.0	23.9	1.9		202	78.1	73.9
06/10/2011	148	21.8	25.0	2.0		215	78.4	79.1
01/12/2011	135	19.9	23.4	1.9		213	71.7	68.1
09/02/2012	136	19.8	23.1	2.0		205	74.9	70.4
19/04/2012	144	20.7	23.6	1.9		211	73.4	75.7
21/06/2012	146	20.3	24.4	1.9		214	77.5	81.4
04/10/2012	151	22.4	24.5	2.0		212	80.8	84.8
13/12/2012	136	20.1	22.9	1.8		198	74.4	72.2
21/03/2013	155	22.0	24.9	1.9		205	78.9	86.1
13/06/2013	169	24.7	26.7	2.1		213	81.3	103
10/09/2013	148	22.2	26.1	2.0		208	80.7	84.5
10/12/2013	142	20.5	24.6	2.2		201	75.1	77.5
13/03/2014	157	22.8	26.3	1.9		204	77.7	92.1
12/06/2014	149	22.8	25.2	2.2		207	75.2	79.2
04/09/2014	164	23.9	27.5	2.0		201	85.4	94.5
03/12/2014	145	21.4	24.8	1.9		205	73.1	76.4
12/03/2015	166	27.4	30.8	2.4		208	88.3	112
04/06/2015	183	30.5	33.8	2.3		202	98.6	137
10/09/2015	161	35.3	40.6	2.8		209	125	147
03/12/2015	160	22.8	26.2	1.8		210	74.5	86.9
10/03/2016	145	20.8	26.2	2.1		199	69.4	81.0
09/06/2016	152	24.7	27.8	1.9		210	80.1	99.8
08/09/2016	152	22.1	25.9	1.9		208	77.6	89.3
15/12/2016	155	22.5	26.8	1.9		200	75.0	97.0
23/03/2017	153	21.8	25.4	1.9		196	72.7	90.2
08/06/2017	168	25.1	27.9	2.1		207	81.0	107
15/03/2018	166	23.9	28.1	2.0		204	77.3	103
07/06/2018	169	24.5	27.8	2.0		203	81.4	111
27/09/2018	157	33.3	42.5	2.3		201	125	123
13/12/2018	148	21.9	25.9	2.0		193	71.2	92.5
14/03/2019	153	23.8	27.7	1.0		210	79.9	98.3
20/06/2019	157	23.7	26.8	1.7		211	78.6	108
12/09/2019	150	23.2	27.5	2.2		200	72.9	95.1
12/12/2019	158	23.8	27.4	1.9		203	77.8	104
12/03/2020	152	23.0	25.4	1.8		215	72.2	92.2
11/06/2020	158	23.3	27.2	1.7		202	77.6	103
10/09/2020	136	20.1	24.9	1.5		208	67.8	91.4
21/12/2020	150	22.3	24.8	2.0		197	77.1	97.3
