FECHA DE MUESTREO	Calcio (mg/L Ca)	Magnesio (mg/L Mg)	Sodio (mg/L Na)	Potasio (mg/L K)	Columna1	Bicarbonatos (mg/L CO3Ca)	Sulfatos (mg/L SO4)	Cloruros (mg/L Cl)
22/07/2002	141.2	3.7	10.4	<2.0		249	63.1	49.2
21/07/2003	156	2.4	7.9	<1.0		220	78.2	54.5
16/12/2003	130	5	10	1		197	90	48
13/10/2005	155	4	12	1		198	83	38
26/07/2006	145	4	13	1		221	77	40
16/07/2007	129	4	12	1		214	51	38
09/06/2008	151	4	11	1		231	79	46
13/07/2009	141	3.9	11.5	3.0		248	54.9	23.9
14/06/2010	112	14.6	12.2	1.0		210.0	59.5	26.1
26/08/2010	136	7.3	13.7	1.7		237.0	48.5	23.5
18/10/2010	125	8.3	15.9	1.3		237.5	47.5	24.1
13/12/2010	132	4.9	15.6	1.2		215.0	57.3	22.1
04/04/2011	139	4.3	11.9	<1.0		244	63.7	29.5
30/05/2011	133	4.0	12.1	<1.0		241	57.3	27.0
27/07/2011	127	3.8	12.5	<1.0		244	52.4	25.3
05/10/2011	126	4.1	13.0	<1.0		254	51.5	23.9
28/11/2011	126	4.1	13.0	<1.0		249	54.6	25.4
06/02/2012	131	4.2	14.5	1.1		224	63.7	32.2
16/04/2012	127	4.0	13.4	1.0		229	61.1	31.2
18/06/2012	121	3.6	12.6	<1.0		229	55.2	27.0
03/10/2012	121	3.8	13.2	<1.0		229	53.0	27.2
12/12/2012	126	4.0	13.8	<1.0		226	61.9	31.2
19/03/2013	111	3.5	10.9	1.0		217	46.4	22.4
11/06/2013	122	3.7	12.4	1.2		231	49.5	23.2
12/09/2013	121	3.5	13.4	1.0		235	49.7	24.9
03/12/2013	121	3.7	11.8	1.3		236	48.4	22.2
11/03/2014	131	4.2	11.2	<1.0		238	63.0	20.3
10/06/2014	122	4.5	11.7	<1.0		243	47.2	19.4
02/09/2014	125	4.0	12.4	<1.0		242	47.5	19.9
02/12/2014	129	4.7	13.0	1.1		243	52.8	23.0
10/03/2015	116	4.0	9.8	<1.0		215	36.8	14.7
02/06/2015	110	4.1	10.9	<1.0		223	45.2	16.1
08/09/2015	107	3.4	11.2	1.0		237	35.3	15.1
01/12/2015	124	3.9	13.2	<1.0		230	42.9	19.7
08/03/2016	115	3.8	10.8	1.3		227	38.3	16.6
07/06/2016	114	3.5	9.7	<1.0		219	40.1	17.8
06/09/2016	121	4.6	11.3	1.0		222	57.4	17.5
13/12/2016	124	4.2	13.1	<1.0		218	48.4	29.1
21/03/2017	121	4.5	11.6	<1.0		207	59.1	20.6
06/06/2017	124	4.4	11.9	<1.0		221	60.3	22.0
05/09/2017	75.1	3.6	10.3	<1.0		148	34.1	16.3
12/12/2017	121	3.9	12.3	1.3		258	49.5	24.6
13/03/2018	122	3.7	10.1	1.1		228	43.6	20.7
05/06/2018	134	5.0	10.7	1.3		233	68.6	21.3
25/09/2018	121	4.1	12.1	1.0		218	54.9	20.0
11/12/2018	126	3.9	11.2	1.0		242	53.6	19.6
12/03/2019	127	5.7	11.3	<1.0		240	66.4	17.7
18/06/2019	125	5.3	11.0	1.0		254	69.9	18.8
10/09/2019	118	4.7	11.2	1.9		241	48.8	16.3
10/12/2019	128	4.4	10.4	1.0		258	47.3	19.9
10/03/2020	126	5.3	9.9	1.1		237	64.7	20.9
09/06/2020	130	5.1	10.4	1.0		243	65.1	21.2
08/09/2020	121	4.8	11.1	<1.0		235	56.4	18.8
15/12/2020	124	4.2	10.9	1.2		232	49.7	19.7
09/03/2021	125	4.0	9.2	1.0		237	54.1	20.3
