FECHA DE MUESTREO	Calcio (mg/L Ca)	Magnesio (mg/L Mg)	Sodio (mg/L Na)	Potasio (mg/L K)		Bicarbonatos (mg/L CO3Ca)	Sulfatos (mg/L SO4)	Cloruros (mg/L Cl)
31/05/1995	186.6	30.2	53.4	13.4		383.5	212.2	52.7
25/10/1995	167	24.9	13.4	48.9		351	174	46.1
15/05/1996	203	38.5	83.9	7.4		365	330	78.0
23/10/1996	166	26.9	49.1	14.7		348	181	50.0
14/05/1997	205	32.7	64.7	15.0		380	281	74.3
22/03/1999	164	26.2	51.8	11.3		357	190	56.4
14/06/1999	160	25.9	49.8	11.8		338	194	56.4
03/10/1999	166	24.0	45.3	13.3		349	162	45.9
01/12/1999	195	27.7	59.2	13.4		381	228	59.0
16/02/2000	174	26.1	56.1	11.2		349	193	50.8
31/07/2000	195	28.9	52.5	13.6		335	234	70.6
14/02/2001	198	29.9	57.0	11.9		381	234	54.8
18/07/2001	167	23.9	45.2	12.3		348	200	47.4
25/02/2002	177	27.6	48.5	11.7		334	237	45.9
02/10/2002	168	24.3	42.9	13.6		372	183	43.1
02/07/2003	189	27.3	52.2	12.4		331	230	70.6
21/11/2005	213	26	58	16		354	219	55
01/08/2006	176	24	47	15		343	218	63
20/08/2007	143	24	48	14		339	155	54
19/06/2008	197	25	53	9		295	267	76
28/07/2009	175	26.6	54.3	10.7		337	187	61.0
01/07/2010	172	25.5	62.1	9.3		325.0	194	70.7
31/08/2010	178	21.9	61.0	4.1		345.0	193	66.1
22/10/2010	172	25.9	59.9	10.7		352.5	169	63.4
20/12/2010	178	13.0	56.7	9.5		340.0	158	59.4
06/04/2011	157	25.0	52.3	7.5		310	187	63.6
01/06/2011	221	35.4	67.9	9.7		272	274	86.4
25/07/2011	235	33.7	71.5	12.4		329	286	77.7
03/10/2011	220	32.8	71.7	12.1		339	265	75.5
30/11/2011	214	32.4	69.0	11.1		316	264	79.4
08/02/2012	166	26.2	56.0	8.9		329	189	60.5
18/04/2012	217	32.9	66.2	9.3		267	320	71.6
20/06/2012	240	34.4	70.0	10.8		298	355	74.4
01/10/2012	221	32.8	61.1	14.7		303	268	65.9
10/12/2012	202	30.9	66.0	11.2		330	285	72.6
18/03/2013	159	25.0	49.2	8.9		314	181	53.9
10/06/2013	177	26.6	52.9	9.0		346	198	54.0
09/09/2013	216	31.5	60.2	13.2		334	275	63.2
02/12/2013	195	28.8	60.9	11.6		382	226	68.3
10/03/2014	182	27.9	55.7	9.9		347	203	65.6
09/06/2014	178	27.9	51.8	10.9		328	202	59.4
01/09/2014	183	26.0	48.5	13.9		353	167	55.9
01/12/2014	196	28.8	58.6	12.7		373	218	65.8
09/03/2015	208	30.6	58.7	11.0		383	228	70.8
01/06/2015	201	37.4	65.5	12.7		331	319	134
07/09/2015	153	27.1	51.8	14.4		358	192	63.6
30/11/2015	216	32.3	76.5	13.3		379	268	88.1
07/03/2016	172	27.8	64.6	11.6		351	206	67.5
06/06/2016	158	26.0	47.7	10.8		314	191	60.3
05/09/2016	174	26.2	51.2	13.7		324	189	64.1
12/12/2016	185	29.8	67.9	12.7		372	250	64.8
20/03/2017	165	28.0	54.4	11.4		339	196	58.2
05/06/2017	195	32.9	56.3	12.5		291	202	81.2
04/09/2017	176	26.1	49.0	14.2		359	161	53.5
11/12/2017	153	24.1	49.0	11.0		349	197	53.8
12/03/2018	161	25.6	53.5	11.1		307	196	52.7
04/06/2018	163	25.3	46.7	10.5		331	168	51.8
10/12/2018	162	25.7	49.6	11.6		339	190	50.8
11/03/2019	186	31.0	57.9	11.9		356	248	66.4
17/06/2019	160	25.8	47.0	11.1		321	217	52.7
09/09/2019	146	23.5	46.3	12.0		310	170	48.6
09/12/2019	167	27.0	52.7	12.3		347	215	55.0
09/03/2020	172	30.6	52.4	11.5		326	255	59.7
08/06/2020	168	28.9	51.7	11.9		335	200	59.7
07/09/2020	170	26.2	47.9	11.2		308	253	44.4
14/12/2020	200	31.7	72.2	12.6		326	307	79.0
08/03/2021	187	31.0	61.4	12.9		334	292	67.4
