Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1976-11-09	172	66	42	2.0	226		397	67
1977-05-10	162	60	41	2.0	384		375	60
1977-09-23	172	74	32	2.0	288		384	64
1978-05-08	168	63	48	4.0	305		368	60
1978-11-29	190	66	39	5.0	281		432	56
1979-05-22	136	78	87	1.0	183		451	71
1979-11-26	172	78	45	2.0	281		451	71
1981-04-30	154	52	32		213		335	53
1981-12-15	184	63	42	6.0	284		384	70
1982-03-25	174	59	41	5.0	238		394	64
1982-11-26	192	63	41	5.0	268		490	78
1989-06-10	191	80	49	2.0	182		488	89
1993-12-01	142	75	42	2.0	204	24.0	325	72
1995-05-11	205	83	51	2.0	360	0.0	432	71
1995-05-26	148	80	63	2.0	121	0.0	432	85
1995-11-02	162	79	63	2.0	290	0.0	380	82
1995-11-03	188	87	52	2.0	274	0.0	404	90
1996-05-27	168	84	49	2.0	151	0.0	424	97
1996-10-10	222	85	53	2.0	312	0.0	480	97
1996-11-04	213	81	48	2.0	257	0.0	440	104
1997-11-10	212	76	52	2.0	264	0.0	410	107
1998-05-25	157	82	50	2.0	185	0.0	414	118
1998-10-06	241	88	50	2.0	255	0.0	556	104
1999-05-04	210	95	49	2.0	246	0.0	459	107
1999-10-23	214	76	57	2.0	254	0.0	411	111
2000-05-03	205	84	51	2.0	289	0.0	384	113
2000-11-11	216	87	53	2.0	115	0.0	520	126
2001-05-02	179	91	52	2.0	216	0.0	425	113
2005-01-15	212	77	46	2.0	296	0.0	474	94
