Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9
France	10.3	4.08	1.4	1.9	47.4	0	3.12	3.39
France	94.2	6.53	10	3.5	303	0	9.25	21.4
France	97.5	6.47	10.1	3.4	317	0	9.28	21.4
France	3.36	0.822	2.1	0.7	5.9	0	11	0.6
France	520	82.1	7.7	3	353	0	1370	9.21
France	68	6.74	11.6	3.4	232	0	5.22	19.7
France	115	4.29	8.4	2.5	327	0	25.2	14.9
France	115	4.27	8.5	2.6	328	0	25.3	14.9
France	185	69.1	135	36.7	1208	0	104	19.8
France	5.63	1.9	5.5	2.4	41.3	0	0.22	1.16
France	5.48	1.85	5.3	2.3	39.3	0	0.21	1.15
France	45.9	4.33	5.9	3.2	159	0	9.22	5.32
France	77.3	39.3	293	36.9	822	0	41.8	252
France	175	47.5	29.4	4.4	324	0	371	39.5
France	229	67.7	47.7	6.8	298	0	642	61.4
France	215	10.1	5.3	2.2	659	0	34.4	4.29
France	1.94	0.665	3.2	0.4	7	0	2.9	2.97
France	1.72	0.581	3	0.4	5.1	0	2.74	2.96
France	2.7	0.944	2.5	0.6	11.3	0	1.56	1.95
France	77.5	69.2	345	56.9	1176	0	17	255
France	117	28.5	7.2	1.8	435	0	61	7.77
France	203	77.8	125	43.7	1240	0	151	18.6
France	160	59.3	88.7	33.2	896	0	137	16.7
France	183	99.2	683	130	2383	0	25.3	398
France	185	100	692	127	2375	0	25.3	397
France	87.7	10.6	1747	115	4368	0	174	311
France	94.5	9.28	1168	57.6	3008	0	133	218
France	32.3	16.9	126	22.2	556	0	8.42	4.39
France	157	5.05	11.5	0.8	428	0	44.5	23.7
France	152	5.03	11	0.8	431	0	34.9	21.3
France	6.48	3.37	33.9	1	105	0	8.14	6.8
France	165	81.6	168	8.4	1281	0	35.6	50.7
France	11	17.4	249	5	740	0	14.7	24.7
France	10.5	15.8	239	4.9	704	0	15	23
France	13.3	8.63	29.5	3	104	0	6.23	32.5
France	47.1	9.99	11.6	11.8	176	0	30	15.5
France	106	3.98	3.6	1.5	278	0	51	4.15
