FECHA DE MUESTREO	Calcio (mg/L Ca)	Magnesio (mg/L Mg)	Sodio (mg/L Na)	Potasio (mg/L K)	Columna1	Bicarbonatos (mg/L CO3Ca)	Sulfatos (mg/L SO4)	Cloruros (mg/L Cl)
01/02/1995	200.4	31.6	151.4	1.3		256.0	319.6	208.8
03/04/1995	166.4	30.9	157.1	3.0		212.0	311.7	248.5
28/06/1995	189	38.0	133	1.7		248	336	206
15/11/1995	184	35.7	130	1.6		248	319	201
26/02/1996	207	39.2	143	1.9		252	362	225
15/04/1996	192	41.0	150	1.7		243	357	239
24/07/1996	185	39.6	141	1.8		263	372	229
06/11/1996	177	37.8	134	2.2		255	312	191
24/02/1997	184	39.5	144	1.5		246	354	221
28/04/1997	191	37.2	137	1.8		263	336	201
08/03/1999	176	38.0	136	1.8		255	329	208
07/06/1999	165	33.2	116	1.9		246	315	183
16/09/1999	190	39.0	133	1.8		259	358	209
29/11/1999	172	36.9	130	2.5		241	336	187
15/03/2000	197	39.5	141	1.4		252	334	201
21/06/2000	168	31.8	103	2.0		245	276	141
27/09/2000	181	37.0	127	1.8		269	330	187
11/12/2000	182	36.4	131	2.2		246	335	192
14/03/2001	188	39.0	139	1.7		259	349	209
28/05/2001	160	30.2	101	2.1		245	271	142
19/09/2001	181	35.8	126	2.2		246	325	188
10/12/2001	111	18.0	46.3	6.8		167	196	61.9
25/03/2002	182	38.7	136	2.1		252	330	194
16/10/2002	153	26.3	82.9	6.2		196	270	126
30/06/2003	168	34	120	3.4		200	328	202
15/12/2005	177	30	119	3		250	284	175
03/08/2006	213	37	135	3		247	385	222
16/04/2007	271	40	133	4		241	470	212
30/07/2007	184	36	126	2		128	348	235
05/11/2007	181	40	136	3		252	364	207
30/06/2008	192	39	156	2		249	398	249
10/09/2009	216	42.8	166	2.1		263	358	288
09/07/2010	180	41.3	163	2.8		255.0	372	315
25/08/2010	212	53.5	179	4.3		250.0	359	276
19/10/2010	218	38.9	174	3.9		252.5	359	297
20/12/2010	234	18.6	156	3.0		255.0	317	258
07/04/2011	218	43.6	174	2.0		253	377	302
02/06/2011	215	43.2	173	2.1		251	377	303
28/07/2011	220	44.0	179	2.2		254	381	314
06/10/2011	214	44.0	177	2.3		259	385	307
01/12/2011	210	42.7	166	2.2		262	375	292
09/02/2012	228	42.2	172	2.1		244	379	316
19/04/2012	217	43.5	176	2.3		274	387	307
21/06/2012	218	40.9	181	2.2		260	390	318
04/10/2012	225	44.9	188	2.3		255	393	332
13/12/2012	211	42.7	180	2.1		250	387	318
21/03/2013	214	42.8	182	2.2		253	384	316
13/06/2013	216	43.0	182	2.3		249	371	308
10/09/2013	221	44.0	193	2.3		245	393	340
10/12/2013	211	42.0	177	2.5		243	374	313
13/03/2014	221	44.3	196	2.2		251	380	331
12/06/2014	222	44.4	187	<4.0		255	389	318
04/09/2014	220	43.9	193	2.3		246	415	326
03/12/2014	219	42.5	182	2.3		248	400	311
12/03/2015	219	46.9	208	2.5		252	428	348
04/06/2015	197	48.5	217	4.2		247	436	368
10/09/2015	187	48.1	221	3.1		260	432	377
03/12/2015	219	43.1	191	2.1		250	383	306
10/03/2016	205	40.0	186	2.5		249	341	282
09/06/2016	220	46.1	198	2.6		250	406	325
08/09/2016	200	38.5	160	2.4		256	342	275
15/12/2016	208	40.0	173	2.1		266	373	295
23/03/2017	196	37.3	173	2.3		245	356	268
08/06/2017	168	30.3	122	2.5		242	279	194
07/09/2017	192	35.3	151	2.5		242	320	247
14/12/2017	169	31.4	129	2.3		241	308	231
15/03/2018	211	40.0	169	2.3		255	351	282
07/06/2018	209	40.6	178	2.3		253	396	300
27/09/2018	128	21.0	77.1	2.5		193	202	122
13/12/2018	131	20.3	69.1	2.7		200	206	104
14/03/2019	156	29.8	119	1.1		218	273	193
20/06/2019	111	17.6	56.2	2.2		205	170	82.6
12/09/2019	112	19.1	66.4	2.7		171	185	93.5
12/12/2019	180	33.7	140	2.1		241	316	232
12/03/2020	196	39.5	153	1.9		257	325	262
11/06/2020	176	32.7	132	2.1		240	293	231
10/09/2020	169	31.4	150	1.8		255	291	244
17/12/2020	202	39.2	168	2.2		257	352	284
