Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1972-03-03	63	48	41	2.0	141		164	80
1976-10-18	144	43	37	2.0	202		300	64
1977-05-09	154	46	38	2.0	276		267	78
1977-10-11	145	51	28	2.0	240		255	71
1978-05-10	138	45	44	4.0	207		270	64
1978-11-28	164	46	37	5.0	275		293	58
1979-05-10	178	47	40	3.0	305		284	85
1979-11-29	96	41	33	1.0	293		163	57
1980-04-25	154	46	30	3.0	262		268	55
1981-04-24	150	43	51	4.0	274		235	78
1981-11-20	152	44	46	4.0	268		249	64
1982-10-25	160	46	51	4.0	281		293	78
1983-05-13	162	47	57	4.0	274		307	88
1983-10-06	168	56	62	4.0	284		319	99
1984-06-27	200	56	48	3.0	250		464	73
1985-02-18	191	54	50	3.0	288		346	72
1985-12-10	288	26	44	2.0	280		477	76
1986-07-25	157	72	39	6.0	156		400	75
1987-10-05	164	56	54	2.0	174		330	72
1988-11-16	132	51	66	2.0	187	4.0	242	134
1989-06-08	157	54	42	2.0	142		330	71
1989-10-20	148	61	38	2.0	130		340	59
1992-10-20	115	60	46	2.0	230	2.0	254	82
1993-05-20	175	56	43	2.0	252	0.0	259	87
1994-05-19	224	68	62	3.0	320		380	86
