FECHA DE MUESTREO	Calcio (mg/L Ca)	Magnesio (mg/L Mg)	Sodio (mg/L Na)	Potasio (mg/L K)	Bicarbonatos (mg/L CO3Ca)	Column1	Sulfatos (mg/L SO4)	Cloruros (mg/L Cl)
14/06/2010	112	146	122	10	210	0	595	261
26/08/2010	136	73	137	17	237	0	485	235
18/10/2010	125	83	159	13	237	0	475	241
13/12/2010	132	49	156	12	215	0	573	221
04/04/2011	139	43	119	10	244	0	637	295
30/05/2011	133	40	121	10	241	0	573	270
27/07/2011	127	38	125	10	244	0	524	253
05/10/2011	126	41	130	10	254	0	515	239
28/11/2011	126	41	130	10	249	0	546	254
06/02/2012	131	42	145	11	224	0	637	322
16/04/2012	127	40	134	10	229	0	611	312
18/06/2012	121	36	126	10	229	0	552	270
03/10/2012	121	38	132	10	229	0	530	272
12/12/2012	126	40	138	10	226	0	619	312
19/03/2013	111	35	109	10	217	0	464	224
11/06/2013	122	37	124	12	231	0	495	232
12/09/2013	121	35	134	10	235	0	497	249
03/12/2013	121	37	118	13	236	0	484	222
11/03/2014	131	42	112	10	238	0	630	203
10/06/2014	122	45	117	10	243	0	472	194
02/09/2014	125	40	124	10	242	0	475	199
02/12/2014	129	47	130	11	243	0	528	230
10/03/2015	116	40	98	10	215	0	368	147
02/06/2015	110	41	109	10	223	0	452	161
08/09/2015	107	34	112	10	237	0	353	151
01/12/2015	124	39	132	10	230	0	429	197
08/03/2016	115	38	108	13	227	0	383	166
07/06/2016	114	35	97	10	219	0	401	178
06/09/2016	121	46	113	10	222	0	574	175
13/12/2016	124	42	131	10	218	0	484	291
21/03/2017	121	45	116	10	207	0	591	206
06/06/2017	124	44	119	10	221	0	603	220
05/09/2017	751	36	103	10	148	0	341	163
12/12/2017	121	39	123	13	258	0	495	246
13/03/2018	122	37	101	11	228	0	436	207
05/06/2018	134	50	107	13	233	0	686	213
25/09/2018	121	41	121	10	218	0	549	200
11/12/2018	126	39	112	10	242	0	536	196
12/03/2019	127	57	113	10	240	0	664	177
18/06/2019	125	53	110	10	254	0	699	188
10/09/2019	118	47	112	19	241	0	488	163
10/12/2019	128	44	104	10	258	0	473	199
10/03/2020	126	53	99	11	237	0	647	209
09/06/2020	130	51	104	10	243	0	651	212
08/09/2020	121	48	111	10	235	0	564	188
15/12/2020	124	42	109	12	232	0	497	197
09/03/2021	125	40	92	10	237	0	541	203
