Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1972-07-06	79	44	52	2.0	191		162	106
1976-10-21	112	35	39	2.0	283		191	46
1977-05-06	100	30	42	2.0	216		193	46
1977-10-11	151	39	36	2.0	258		289	50
1978-05-08	79	29	46	3.0	189		182	43
1978-11-29	116	30	40	4.0	230		216	38
1979-05-10	115	29	37	3.0	238		199	46
1979-11-27	120	41	39	1.0	232		285	50
1980-04-28	94	25	34	2.0	250		113	41
1981-04-29	120	26	44	5.0	232		171	75
1981-11-20	100	36	28	4.0	243		111	42
1982-03-31	112	41	37	5.0	237		231	38
1983-05-13	110	40	32	5.0	244		212	39
1983-10-06	120	44	37	5.0	250		233	57
1984-06-29	130	33	43	2.0	238		204	60
1984-07-25	113	32	41	2.0	267		202	45
1985-02-18	126	35	47	2.0	238		218	49
1985-12-10	176	43	52	1.0	244		245	76
1986-07-24	108	45	41	4.0	167		240	53
1987-10-02	107	38	61	2.0	194		230	56
1989-06-06	85	27	21	2.0	124	5.0	192	33
1989-10-18	79	44	41	1.0	136		228	55
1992-05-27	113	24	27	2.0	180	8.0	218	38
1992-10-20	71	32	27	2.0	157	2.0	170	38
1993-05-20	107	28	26	2.0	185	0.0	198	44
