Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9
841-7-0037	396	81	1421	16	229	0	816	2080
841-7-0037	180	92	802	20	232	0	466	1248
841-7-0037	64	9	66	2	146	0	44	106
841-7-0037	64	43	147	4	231	0	162	219
841-7-0037	52	2	29	2	73	0	3	70
841-4-0001	60	29	52	3	195	0	51	71
841-4-0001	72	17	38	2	219	0	41	56
841-4-0001	76	12	42	3	146	0	54	70
841-4-0001	56	38	36	3	207	0	41	70
841-4-0001	52	16	37	4	175	0	14	59
841-4-0001	38	10	35	2	105	0	37	64
841-4-0001	45	19	52	5	109	0	33	80
841-4-0001	45	15	34	3	132	0	17	55
841-4-0001	45	15	45	3	127	0	26	67
841-4-0001	65	12	54	1	95	0	40	118
841-4-0001	63	12	46	3	98	0	50	107
841-4-0001	63	12	46	3	98	0	50	107
841-4-0001	63	22	54	2	97	0	49	121
841-4-0001	63	22	54	2	97	0	49	121
841-4-0001	78	15	54	2	117	0	39	117
841-4-0001	75	14	53	2	75	0	35	128
841-4-0001	60	25	52	3	86	0	50	140
841-4-0001	83	13	62	3	95	0	39	135
841-4-0001	85	16	54	3	97	0	51	130
841-4-0001	77	13	61	3	89	0	51	141
841-4-0001	90	14	54	3	88	0	69	130
841-4-0001	82	21	54	3	92	0	75	146
841-4-0001	76	12	57	2	108	0	44	110
841-4-0001	76	120	57	2	108	0	44	110
841-4-0001	86	22	57	2	108	0	44	110
841-4-0001	96	32	57	2	108	0	44	110
841-4-0001	97	42	51	2	100	0	38	144
841-4-0001	84	15	74	3	99	0	49	149
841-4-0001	86	22	60	3	98	0	32	169
841-7-0006	58	38	82	28	270	0	61	100
841-7-0006	80	32	52	6	293	0	82	57
841-7-0006	68	38	57	7	268	0	82	63
841-7-0006	44	21	43	3	158	0	60	56
841-7-0006	52	63	34	5	256	0	104	63
841-7-0006	45	20	39	5	199	0	18	51
841-7-0006	66	41	83	8	285	0	37	121
841-7-0006	46	26	52	6	167	0	45	60
841-7-0006	59	17	40	4	193	0	40	49
841-7-0006	22	8	41	3	90	0	33	43
841-7-0006	32	15	61	2	38	0	39	83
841-7-0006	11	5	25	3	29	0	10	46
841-7-0006	31	28	77	4	67	0	58	108
841-7-0006	31	28	77	4	67	0	58	108
841-7-0006	33	10	50	3	60	0	32	80
841-7-0006	55	20	77	4	34	0	71	140
841-7-0006	42	21	68	4	66	0	57	95
841-7-0006	34	17	73	4	49	0	75	94
841-7-0006	55	25	83	5	77	0	108	113
841-7-0006	15	7	41	2	34	0	31	60
841-7-0006	14	8	36	2	38	0	10	65
841-7-0006	48	22	85	5	81	0	82	112
841-8-0017	72	22	56	2	244	0	32	92
841-8-0017	80	16	46	2	285	0	14	83
841-8-0017	84	19	53	4	232	0	40	92
841-8-0017	84	15	48	2	232	0	21	100
841-8-0017	92	23	91	2	240	0	35	182
841-8-0017	160	41	233	2	262	0	110	480
841-8-0017	35	14	47	2	94	0	16	108
841-8-0017	98	38	146	2	214	0	69	305
841-8-0017	98	38	146	2	214	0	69	305
841-8-0017	73	10	51	1	249	0	20	83
841-8-0017	111	25	88	2	243	0	44	214
841-8-0017	83	12	61	1	197	0	21	125
841-8-0017	159	26	141	2	265	0	72	340
841-8-0017	150	26	126	2	259	0	54	310
841-7-0038	28	7	34	1	85	0	11	57
841-7-0038	32	4	24	1	73	0	8	42
841-7-0038	20	4	39	1	48	0	17	56
841-7-0038	40	2	29	1	61	0	11	56
841-7-0038	9	7	37	2	54	0	4	46
841-7-0038	57	8	39	2	194	0	28	69
841-7-0038	6	5	41	3	38	0	11	45
841-7-0038	56	9	39	2	177	0	14	58
841-7-0038	7	4	45	2	25	0	15	56
841-7-0038	6	7	44	2	36	0	19	59
841-7-0038	8	5	43	2	44	0	4	61
841-7-0038	11	8	38	1	34	0	11	70
841-7-0038	27	16	57	3	29	0	13	154
841-7-0038	29	12	64	2	36	0	13	148
841-7-0038	29	12	64	2	36	0	13	148
841-7-0038	41	26	78	3	39	0	8	220
841-7-0038	72	35	94	3	54	0	38	310
841-7-0038	277	140	257	8	21	0	120	1270
841-7-0038	229	150	275	8	20	0	100	1180
841-7-0038	137	89	148	5	15	0	23	655
841-7-0057	14	8	75	1	42	0	22	110
841-7-0057	11	8	61	2	41	0	17	102
841-7-0057	5	8	78	2	61	0	19	102
841-7-0057	18	7	69	2	65	0	17	109
841-7-0057	21	3	71	3	28	0	27	113
841-7-0057	9	8	71	3	78	0	17	90
841-7-0057	21	6	69	2	34	0	18	125
841-7-0057	9	9	81	2	45	0	10	125
841-7-0057	11	8	80	2	34	0	26	121
841-7-0057	11	7	88	2	43	0	33	108
841-7-0057	19	6	80	2	21	0	32	123
841-7-0057	13	7	79	2	33	0	21	117
841-7-0057	14	10	69	2	43	0	6	129
841-7-0057	26	6	92	2	29	0	36	144
841-7-0057	15	7	105	3	45	0	8	149
841-7-0068	9	5	45	1	31	0	7	73
841-7-0068	9	8	36	2	26	0	6	74
841-7-0068	12	7	42	2	40	0	8	68
841-7-0068	12	7	42	2	40	0	8	68
841-7-0068	10	6	42	2	45	0	6	70
841-7-0068	7	4	43	2	18	0	16	65
841-7-0068	6	7	44	2	58	0	6	64
841-7-0068	18	9	42	2	25	0	8	91
841-7-0068	5	7	53	3	38	0	4	86
841-7-0068	13	8	42	2	33	0	10	81
